Carina      4.3    1.1     254  28  6.4    0.2  105.0	6.0
Draco       2.2    0.7     220  11  10.1   0.5  76.0  	6.0
Fornax      170    50      714  40  10.7   0.2	147.0 	12.0
Leo_I       50     18      295  49  9.0    0.4	254.0 	15.0
Leo_II      7.8    2.5     177  13  6.6    0.5  233.0 	14.0
Sculptor    25     9.0     282  41  9.0    0.2	86.0  	6.0	  	
Sextans     5.9    2.0     768  47  7.1    0.3  96.0	4.0
U_Minor     3.9    1.7     445  44  11.5   0.6  76.0	3.0
Bootes      0.28   0.06    242  22  9.0    2.2 	66.0	2.0
CV_I        2.3    0.4     564  36  7.6    0.5 	218.0	10.0
CV_II       0.079  0.044   74   14  4.6    1.0  160.0	4.0
C_Berenices 0.037  0.022   77   10  4.6    0.8  44.0	4.0
Hercules    0.11   0.05    229  19  5.1    0.9  132.0 	12.0
Leo_IV      0.087  0.054   116  34  3.3    1.7  154.0	6.0
Leo_T       1.4    0.18    115  17  7.8    1.6  417.0	19.0
Segue_I     0.0034 0.003   29   8   4.3    1.1  23.0	2.0
U_Major_I   0.14   0.04    318  50  7.6    1.0	97.0	4.0
U_Major_II  0.04   0.025   140  25  6.7    1.4  32.0	4.0
Willman_I   0.01   0.009   25   6   4.0    0.9  38.0	7.0
