Name,RAJ2000,DEJ2000,Maj. Diam (arcmin),Bmag,Kmag,HRV (km/s),D (Mpc),Maj. Diam (kpc),inclination,BMag
Segue 1,151.7633333,16.07361111,7,16.21,11.98,206,0.02,0.05,90,-0.7
Segue 3,320.3791667,19.11722222,1.3,15.9,11.43,,0.02,0.01,58,-0.6
Sag dSph,283.7629167,-30.47833333,446.68,4.5,-0.2,140,0.02,3.08,90,-12.7
Segue 2,34.81666667,20.17527778,5.4,16.2,11.36,-39,0.03,0.07,39,-2.3
UMa II,132.875,63.13,25.3,14.8,10.35,-116,0.03,0.25,80,-3.1
Willman1,162.3375,51.05,3.7,16.04,11.89,-12,0.04,0.04,74,-1.9
BootesII,209.5,12.83333333,6.7,16.32,12.15,-117,0.04,0.08,51,-1.9
ComaI,186.7458333,23.90416667,9.5,14.98,10.81,98,0.04,0.12,66,-3.2
BootesIII,209.2808333,26.775,56,12.6,8.41,198,0.05,0.77,64,-5.9
LMC,80.89416667,-69.75611111,645.65,0.91,-1.75,278,0.05,10.06,35,-17.9
UMin,227.2970833,67.21444444,30.2,11.9,7.67,-255,0.06,0.53,90,-7.1
SMC,13.15833333,-72.80027778,380.19,2.7,0.16,158,0.06,7.09,58,-16.5
BootesI,210,14.5,20,13.66,9.49,99,0.07,0.38,64,-5.5
Draco,260.0058333,57.90944444,35.48,10.9,6.69,-296,0.08,0.84,59,-8.7
SexDSph,153.2625,-1.614444444,30.2,11.3,7.01,227,0.09,0.83,64,-8.7
Sculptor,15.03916667,-33.70916667,39.81,10.05,5.9,105,0.09,1.04,60,-9.8
UMa I,158.72,51.92,18,15.29,11.12,-55,0.1,0.5,90,-4.8
Carina,100.4029167,-50.96611111,24.55,11.3,6.95,224,0.1,0.76,62,-9
Fornax,39.97791667,-34.52583333,17.78,9.28,5.13,29,0.14,0.72,58,-11.5
Hercules,247.7583333,12.79166667,13.5,15,10.66,45,0.15,0.6,90,-6.1
CVnII,194.2916667,34.32083333,2.5,16.95,12.81,-129,0.16,0.11,70,-4.1
LeoIV,173.2375,-0.533333333,7.3,16.9,12.7,132,0.16,0.34,48,-4.2
PiscesII,344.6291667,5.9525,1.8,17.2,12.84,,0.18,0.1,59,-4.4
LeoV,172.79,2.22,4.1,17.6,13.39,173,0.18,0.21,90,-3.8
LeoII,168.3716667,22.15472222,12.02,12.61,8.45,86,0.21,0.75,36,-9.1
CVnI,202.0145833,33.55583333,14.3,13.94,9.79,31,0.22,0.93,70,-7.9
LeoI,152.1120833,12.30805556,9.77,11.18,6.93,283,0.25,0.73,42,-11
LeoT,143.7225,17.05138889,2.09,16.5,14.03,39,0.42,0.26,51,-6.7
Phoenix,27.77625,-44.44472222,5.5,13.72,11.31,-52,0.44,0.71,35,-9.6
MESSIER032,10.67541667,40.86638889,8.91,8.89,5.1,-202,0.49,1.33,53,-14.8
NGC6822,296.2404167,-14.80305556,19.05,9.31,6,-57,0.5,3.44,33,-15.2
And XVI,14.87416667,32.37666667,1.78,15.7,11.33,-385,0.52,0.29,31,-8.2
And XXIV,19.625,46.36611111,3.3,17.2,12.78,-128,0.6,0.63,52,-7
NGC0185,9.741666667,48.33611111,12.3,9.99,6.56,-203,0.61,2.76,39,-14.7
Bol520,12.67666667,32.91638889,0.2,16.28,13.31,-312,0.63,0.04,33,-8.1
And X,16.64041667,44.80444444,2.1,16.7,12.1,-164,0.63,0.45,79,-7.9
And II,19.12416667,33.41916667,2.82,15.1,10.75,-194,0.65,0.57,45,-9.2
