# Name ra dec par sig_par muastar sig_muastar mud sig_mud C_par_mua C_par_mud C_mua_mud nMemb Glim
Fnx	  39.9971  -34.4492  -0.054 0.002 0.376 0.003  -0.413 0.003 0.16 -0.46 -0.09 7722 19.9
Dra   260.0517 57.9153 -0.052 0.005 -0.019 0.009 -0.145 0.010 -0.18 0.12 -0.08 422 19.5
Car   100.4029 -50.9661 -0.015 0.005 0.495 0.015 0.143 0.014 -0.00 0.02 -0.08 257 19.1
UMin  227.2854 67.2225 -0.039 0.006 -0.182 0.010 0.074 0.008 -0.01 -0.31 -0.34 925 19.8
Sext  153.2625 -1.6147 -0.102 0.023 -0.496 0.025 0.077 0.020 0.28 -0.10 -0.45 205 19.7
LeoI  152.1171 12.3064 -0.214 0.065 -0.097 0.056 -0.091 0.047 0.29 -0.30 -0.51 174 19.9
LeoII 168.3700 22.1517 -0.001 0.037 -0.064 0.057 -0.210 0.054 -0.18 -0.24 0.05 116 20.0
Sgr   283.8313 -30.5453 0.003 0.001 -2.692 0.001 -1.359 0.001 -0.17 0.21 0.09 23109 18.0
Scl   15.0392 -33.7092 -0.013 0.004 0.082 0.005 -0.131 0.004 0.17 0.15 0.23 1592 19.5
BooI  210.025 14.500 -0.069 0.024 -0.459 0.041 -1.064 0.029 0.01 0.11 0.16 115 19.7

